Year,bgmort0to4,bgmort5to14,bgmort15to44,bgmort45,births,mig0to4chronic,mig0to4cleared,mig0to4sus,mig5to14chronic,mig5to14cleared,mig5to14sus,mig15to44chronic,mig15to44cleared,mig15to44sus,mig45chronic,mig45cleared,mig45sus
2019,0.001183,0.0001185,0.0008015,0.014170754,263589,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2020,0.001183,0.0001185,0.0008015,0.014170754,261733,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2021,0.001183,0.0001185,0.0008015,0.014370754,263589,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2022,0.001183,0.0001185,0.0008015,0.014570754,264406,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2023,0.001183,0.0001185,0.0008015,0.014770754,265223,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2024,0.001183,0.0001185,0.0008015,0.014970754,266040,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2025,0.001183,0.0001185,0.0008015,0.015170754,266857,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2026,0.001183,0.0001185,0.0008015,0.015370754,267674,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2027,0.001183,0.0001185,0.0008015,0.015570754,267868,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2028,0.001183,0.0001185,0.0008015,0.015770754,268061,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2029,0.001183,0.0001185,0.0008015,0.015970754,268255,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2030,0.001183,0.0001185,0.0008015,0.016170754,268448,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2031,0.001183,0.0001185,0.0008015,0.016370754,268642,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2032,0.001183,0.0001185,0.0008015,0.016570754,268584,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2033,0.001183,0.0001185,0.0008015,0.016770754,268527,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2034,0.001183,0.0001185,0.0008015,0.016970754,268469,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2035,0.001183,0.0001185,0.0008015,0.017170754,268412,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2036,0.001183,0.0001185,0.0008015,0.017370754,268354,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2037,0.001183,0.0001185,0.0008015,0.017570754,268647,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2038,0.001183,0.0001185,0.0008015,0.017770754,268941,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2039,0.001183,0.0001185,0.0008015,0.017970754,269528,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2040,0.001183,0.0001185,0.0008015,0.018170754,269528,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2041,0.001183,0.0001185,0.0008015,0.018370754,269821,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2042,0.001183,0.0001185,0.0008015,0.018570754,270347,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2043,0.001183,0.0001185,0.0008015,0.018770754,270873,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2044,0.001183,0.0001185,0.0008015,0.018970754,271399,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2045,0.001183,0.0001185,0.0008015,0.019170754,271925,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2046,0.001183,0.0001185,0.0008015,0.019370754,272451,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2047,0.001183,0.0001185,0.0008015,0.019570754,273023,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2048,0.001183,0.0001185,0.0008015,0.019770754,273596,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2049,0.001183,0.0001185,0.0008015,0.019970754,274168,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
2050,0.001183,0.0001185,0.0008015,0.020170754,274741,597,4235,6168,895,6353,9252,3879,27528,40094,597,4235,6168
